content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
Sejak instal & aktif buat threads setiap 2 atau 3 hari ig langsung ga bisa dibuka. Udah verifikasi berkali² pake no hp tetep gagal. Saya kecewa sekali padahal konten di threads bukan konten sensitif. Sekarang baik akun instagram ataupun threads gak ada yg bisa dibuka. Menyebalkan sekali,Negatif,sejak instal  aktif buat threads setiap  atau  hari ig langsung ga bisa dibuka udah verifikasi berkali pake no hp tetep gagal saya kecewa sekali padahal konten di threads bukan konten sensitif sekarang baik akun instagram ataupun threads gak ada yg bisa dibuka menyebalkan sekali,instal aktif threads ig langsung ga dibuka udah verifikasi berkali pake no hp tetep gagal kecewa konten threads konten sensitif akun instagram threads gak yg dibuka menyebalkan,"['instal', 'aktif', 'threads', 'ig', 'langsung', 'ga', 'dibuka', 'udah', 'verifikasi', 'berkali', 'pake', 'no', 'hp', 'tetep', 'gagal', 'kecewa', 'konten', 'threads', 'konten', 'sensitif', 'akun', 'instagram', 'threads', 'gak', 'yg', 'dibuka', 'menyebalkan']",instal aktif threads ig langsung ga buka udah verifikasi kali pake no hp tetep gagal kecewa konten threads konten sensitif akun instagram threads gak yg buka sebal
Saya merasa bersyukur dengan aplikasi ini karyaku jadi di kenal dunia,Positif,saya merasa bersyukur dengan aplikasi ini karyaku jadi di kenal dunia,bersyukur aplikasi karyaku kenal dunia,"['bersyukur', 'aplikasi', 'karyaku', 'kenal', 'dunia']",syukur aplikasi karya kenal dunia
Sangat cocok,Positif,sangat cocok,cocok,['cocok'],cocok
Baguss lahhh,Positif,baguss lahhh,baguss lahhh,"['baguss', 'lahhh']",baguss lahhh
Sangat bagus,Positif,sangat bagus,bagus,['bagus'],bagus
Saya mendonlot aplikasi ini knapa akun ig saya ilang knapa yh??,Negatif,saya mendonlot aplikasi ini knapa akun ig saya ilang knapa yh,mendonlot aplikasi knapa akun ig ilang knapa yh,"['mendonlot', 'aplikasi', 'knapa', 'akun', 'ig', 'ilang', 'knapa', 'yh']",mendonlot aplikasi knapa akun ig ilang knapa yh
Percobaan,Negatif,percobaan,percobaan,['percobaan'],coba
bagus sekali terus tingkatkan ya,Positif,bagus sekali terus tingkatkan ya,bagus tingkatkan ya,"['bagus', 'tingkatkan', 'ya']",bagus tingkat ya
"Sering banget sekarang instagram sy di suspend, padahal jarang banget posting",Negatif,sering banget sekarang instagram sy di suspend padahal jarang banget posting,banget instagram sy suspend jarang banget posting,"['banget', 'instagram', 'sy', 'suspend', 'jarang', 'banget', 'posting']",banget instagram sy suspend jarang banget posting
Suka dengan berita dari facebook,Positif,suka dengan berita dari facebook,suka berita facebook,"['suka', 'berita', 'facebook']",suka berita facebook
"Aplikasi keren,",Positif,aplikasi keren,aplikasi keren,"['aplikasi', 'keren']",aplikasi keren
amazing,Positif,amazing,amazing,['amazing'],amazing
Apa gara-gara aku sering komentar di threads jadi akun IGku sering sekali ditangguhkan? 😭😭😭,Positif,apa garagara aku sering komentar di threads jadi akun igku sering sekali ditangguhkan ,garagara komentar threads akun igku ditangguhkan,"['garagara', 'komentar', 'threads', 'akun', 'igku', 'ditangguhkan']",garagara komentar threads akun igku tangguh
Bagus sekali,Positif,bagus sekali,bagus,['bagus'],bagus
keren banget 👍🌹🌹🌹🌹🙏🙏🙏🙏,Positif,keren banget ,keren banget,"['keren', 'banget']",keren banget
God god,Positif,god god,god god,"['god', 'god']",god god
Bagus,Positif,bagus,bagus,['bagus'],bagus
Baru instal suruh apdate,Negatif,baru instal suruh apdate,instal suruh apdate,"['instal', 'suruh', 'apdate']",instal suruh apdate
mantap,Positif,mantap,mantap,['mantap'],mantap
"Saran saya, berikan izin untuk pengguna akun private untuk memberikan komentar kepada postingan lain! overall saya nyaman dengan aplikasi ini",Positif,saran saya berikan izin untuk pengguna akun private untuk memberikan komentar kepada postingan lain overall saya nyaman dengan aplikasi ini,saran izin pengguna akun private komentar postingan overall nyaman aplikasi,"['saran', 'izin', 'pengguna', 'akun', 'private', 'komentar', 'postingan', 'overall', 'nyaman', 'aplikasi']",saran izin guna akun private komentar postingan overall nyaman aplikasi
Ribet,Negatif,ribet,ribet,['ribet'],ribet
"Suka banget ,karena apresiasi para pengguna begitu menyenangkan",Positif,suka banget karena apresiasi para pengguna begitu menyenangkan,suka banget apresiasi pengguna menyenangkan,"['suka', 'banget', 'apresiasi', 'pengguna', 'menyenangkan']",suka banget apresiasi guna senang
memuaskan,Positif,memuaskan,memuaskan,['memuaskan'],muas
"Ramah ramah, seru, asik, menyenangkan",Positif,ramah ramah seru asik menyenangkan,ramah ramah seru asik menyenangkan,"['ramah', 'ramah', 'seru', 'asik', 'menyenangkan']",ramah ramah seru asik senang
"Terimakasih Threads, an Instagram...? 🇮🇩🙏⭐⭐⭐⭐⭐🙏🇮🇩",Positif,terimakasih threads an instagram ,terimakasih threads an instagram,"['terimakasih', 'threads', 'an', 'instagram']",terimakasih threads an instagram
Tolong di perbaiki lagi aplikasinya karena banyak pengguna threads keluhkan penangguhan instagram setelah menggunakan threads,Negatif,tolong di perbaiki lagi aplikasinya karena banyak pengguna threads keluhkan penangguhan instagram setelah menggunakan threads,tolong perbaiki aplikasinya pengguna threads keluhkan penangguhan instagram threads,"['tolong', 'perbaiki', 'aplikasinya', 'pengguna', 'threads', 'keluhkan', 'penangguhan', 'instagram', 'threads']",tolong baik aplikasi guna threads keluh tangguh instagram threads
Boleh aja,Positif,boleh aja,aja,['aja'],aja
Jangan main ini kalo akun Instagram kalian mau aman,Negatif,jangan main ini kalo akun instagram kalian mau aman,main kalo akun instagram aman,"['main', 'kalo', 'akun', 'instagram', 'aman']",main kalo akun instagram aman
Lupa katasandi,Positif,lupa katasandi,lupa katasandi,"['lupa', 'katasandi']",lupa katasandi
Yes oke👍,Positif,yes oke,yes oke,"['yes', 'oke']",yes oke
Aplikasi,Positif,aplikasi,aplikasi,['aplikasi'],aplikasi
ok az,Positif,ok az,ok az,"['ok', 'az']",ok az
😎👍👍👍,Positif,,,[],
Baguss,Positif,baguss,baguss,['baguss'],baguss
mantap,Positif,mantap,mantap,['mantap'],mantap
Bagusss banget karna apk ini akun ig gue yg ilang balik lagi,Positif,bagusss banget karna apk ini akun ig gue yg ilang balik lagi,bagusss banget karna apk akun ig gue yg ilang,"['bagusss', 'banget', 'karna', 'apk', 'akun', 'ig', 'gue', 'yg', 'ilang']",bagusss banget karna apk akun ig gue yg ilang
aplikasi yang sempurna untuk promosi produk atau kehidupan sehari-hari menjadi kreator di aplikasi ini dengan mudah dan cepat,Positif,aplikasi yang sempurna untuk promosi produk atau kehidupan seharihari menjadi kreator di aplikasi ini dengan mudah dan cepat,aplikasi sempurna promosi produk kehidupan seharihari kreator aplikasi mudah cepat,"['aplikasi', 'sempurna', 'promosi', 'produk', 'kehidupan', 'seharihari', 'kreator', 'aplikasi', 'mudah', 'cepat']",aplikasi sempurna promosi produk hidup seharihari kreator aplikasi mudah cepat
PLIS JANGAN DIKASIH IKLAN... UNTUK SAAT INI UDAH BAGUSSS,Positif,plis jangan dikasih iklan untuk saat ini udah bagusss,plis dikasih iklan udah bagusss,"['plis', 'dikasih', 'iklan', 'udah', 'bagusss']",plis kasih iklan udah bagusss
Bagus,Positif,bagus,bagus,['bagus'],bagus
"Nggak bisa hapus postingan , nggak bisa edit postingan . Masih banyak kurangnya . Coba di upgrade lagi",Negatif,nggak bisa hapus postingan  nggak bisa edit postingan  masih banyak kurangnya  coba di upgrade lagi,nggak hapus postingan nggak edit postingan kurangnya coba upgrade,"['nggak', 'hapus', 'postingan', 'nggak', 'edit', 'postingan', 'kurangnya', 'coba', 'upgrade']",nggak hapus postingan nggak edit postingan kurang coba upgrade
Ketak - ketik tiap hari 🤭,Positif,ketak  ketik tiap hari ,ketak ketik,"['ketak', 'ketik']",ketak ketik
Bagus,Positif,bagus,bagus,['bagus'],bagus
👏🏻👏🏻👏🏻,Positif,,,[],
Asik,Positif,asik,asik,['asik'],asik
Cukup bagus,Positif,cukup bagus,bagus,['bagus'],bagus
"aplikasi jelek, ig gua gabisa masuk",Negatif,aplikasi jelek ig gua gabisa masuk,aplikasi jelek ig gua gabisa masuk,"['aplikasi', 'jelek', 'ig', 'gua', 'gabisa', 'masuk']",aplikasi jelek ig gua gabisa masuk
"Bisa tidak ya? Nonaktifkan instagram, tapi thread masih aktif?",Positif,bisa tidak ya nonaktifkan instagram tapi thread masih aktif,ya nonaktifkan instagram thread aktif,"['ya', 'nonaktifkan', 'instagram', 'thread', 'aktif']",ya nonaktif instagram thread aktif
BAYAR,Negatif,bayar,bayar,['bayar'],bayar
Bagus,Positif,bagus,bagus,['bagus'],bagus
Ayudkf Yha ozy oy PP surya ye Org ksgs,Positif,ayudkf yha ozy oy pp surya ye org ksgs,ayudkf yha ozy oy pp surya ye org ksgs,"['ayudkf', 'yha', 'ozy', 'oy', 'pp', 'surya', 'ye', 'org', 'ksgs']",ayudkf yha ozy oy pp surya ye org ksgs
Ok,Positif,ok,ok,['ok'],ok
"hallo admin! sejauh ini aplikasi threads ini sangat menghibur sekali, terlebih pada postingan yang bertemakan komedi.Sayangnya ada sebuah kekurangan yang mungkin kita butuhkan yaitu kita tidak dapat membaca komentar pembaca lain terhadap postingan,saya memohon sekaligus meminta supaya pembaca dapat membaca komentar, Terimakasih.",Positif,hallo admin sejauh ini aplikasi threads ini sangat menghibur sekali terlebih pada postingan yang bertemakan komedisayangnya ada sebuah kekurangan yang mungkin kita butuhkan yaitu kita tidak dapat membaca komentar pembaca lain terhadap postingansaya memohon sekaligus meminta supaya pembaca dapat membaca komentar terimakasih,hallo admin aplikasi threads menghibur postingan bertemakan komedisayangnya kekurangan butuhkan membaca komentar pembaca postingansaya memohon pembaca membaca komentar terimakasih,"['hallo', 'admin', 'aplikasi', 'threads', 'menghibur', 'postingan', 'bertemakan', 'komedisayangnya', 'kekurangan', 'butuhkan', 'membaca', 'komentar', 'pembaca', 'postingansaya', 'memohon', 'pembaca', 'membaca', 'komentar', 'terimakasih']",hallo admin aplikasi threads hibur postingan tema komedisayangnya kurang butuh baca komentar baca postingansaya mohon baca baca komentar terimakasih
nice,Positif,nice,nice,['nice'],nice
oke,Positif,oke,oke,['oke'],oke
"sangat menghibur,punya banyak teman",Positif,sangat menghiburpunya banyak teman,menghiburpunya teman,"['menghiburpunya', 'teman']",menghiburpunya teman
Bagus kak jadi pengen terus,Positif,bagus kak jadi pengen terus,bagus kak pengen,"['bagus', 'kak', 'pengen']",bagus kak ken
Hanya belum mengerti kelebihan apa yang dimiliki Threadd,Positif,hanya belum mengerti kelebihan apa yang dimiliki threadd,mengerti kelebihan dimiliki threadd,"['mengerti', 'kelebihan', 'dimiliki', 'threadd']",erti lebih milik threadd
Baik,Positif,baik,,[],
Hallo meta.. sejauh ini saya menggunakan threads baik baik saja tapi sebulan terakhir fitur hapus utas (titik tiga) di akun saya menghilang jadi saya kerepotan unyuk menghapus utas saya. Mohon di perbaiki. Saya sangat kesulitan.,Positif,hallo meta sejauh ini saya menggunakan threads baik baik saja tapi sebulan terakhir fitur hapus utas titik tiga di akun saya menghilang jadi saya kerepotan unyuk menghapus utas saya mohon di perbaiki saya sangat kesulitan,hallo meta threads sebulan fitur hapus utas titik akun menghilang kerepotan unyuk menghapus utas mohon perbaiki kesulitan,"['hallo', 'meta', 'threads', 'sebulan', 'fitur', 'hapus', 'utas', 'titik', 'akun', 'menghilang', 'kerepotan', 'unyuk', 'menghapus', 'utas', 'mohon', 'perbaiki', 'kesulitan']",hallo meta threads bulan fitur hapus utas titik akun hilang kerepot unyuk hapus utas mohon baik sulit
Keren asli..pengalaman baru,Positif,keren aslipengalaman baru,keren aslipengalaman,"['keren', 'aslipengalaman']",keren aslipengalaman
bagus,Positif,bagus,bagus,['bagus'],bagus
Tambahin konten 18+ dong,Positif,tambahin konten  dong,tambahin konten,"['tambahin', 'konten']",tambahin konten
good luck,Positif,good luck,good luck,"['good', 'luck']",good luck
mantap,Positif,mantap,mantap,['mantap'],mantap
Sangat bangus,Positif,sangat bangus,bangus,['bangus'],bangus
Bugis,Positif,bugis,bugis,['bugis'],bugis
Lumayan,Positif,lumayan,lumayan,['lumayan'],lumayan
Aplikasinya lmyn bgs,Positif,aplikasinya lmyn bgs,aplikasinya lmyn bgs,"['aplikasinya', 'lmyn', 'bgs']",aplikasi lmyn bgs
Good,Positif,good,good,['good'],good
Bagus juga,Positif,bagus juga,bagus,['bagus'],bagus
⭐⭐⭐⭐⭐,Positif,,,[],
"bagus, but.. kurang komunikatif aja",Positif,bagus but kurang komunikatif aja,bagus but komunikatif aja,"['bagus', 'but', 'komunikatif', 'aja']",bagus but komunikatif aja
cukup bagus untuk bisa menulis segala ide dan pikiran sekaligus gagasan,Positif,cukup bagus untuk bisa menulis segala ide dan pikiran sekaligus gagasan,bagus menulis ide pikiran gagasan,"['bagus', 'menulis', 'ide', 'pikiran', 'gagasan']",bagus tulis ide pikir gagas
is the best application,Positif,is the best application,is the best application,"['is', 'the', 'best', 'application']",is the best application
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Positif,,,[],
semoga bagus terus,Positif,semoga bagus terus,semoga bagus,"['semoga', 'bagus']",moga bagus
Aplikasi nya bagus 👍,Positif,aplikasi nya bagus ,aplikasi nya bagus,"['aplikasi', 'nya', 'bagus']",aplikasi nya bagus
Sejauh ini masih bagus app ini tidak ada masalah semoga lebih baik saja,Positif,sejauh ini masih bagus app ini tidak ada masalah semoga lebih baik saja,bagus app semoga,"['bagus', 'app', 'semoga']",bagus app moga
"Tombol hapus ilang yang bisa titik-titik di kanan atas postingan, aplikasi rusak",Negatif,tombol hapus ilang yang bisa titiktitik di kanan atas postingan aplikasi rusak,tombol hapus ilang titiktitik kanan postingan aplikasi rusak,"['tombol', 'hapus', 'ilang', 'titiktitik', 'kanan', 'postingan', 'aplikasi', 'rusak']",tombol hapus ilang titiktitik kanan postingan aplikasi rusak
Kurang suka,Positif,kurang suka,suka,['suka'],suka
Bagus,Positif,bagus,bagus,['bagus'],bagus
keren bro dapet konten gw,Positif,keren bro dapet konten gw,keren bro dapet konten gw,"['keren', 'bro', 'dapet', 'konten', 'gw']",keren bro dapet konten gw
ok banget,Positif,ok banget,ok banget,"['ok', 'banget']",ok banget
seru juga cari sahabt,Positif,seru juga cari sahabt,seru cari sahabt,"['seru', 'cari', 'sahabt']",seru cari sahabt
Semoga bermanfaat 🤲,Positif,semoga bermanfaat ,semoga bermanfaat,"['semoga', 'bermanfaat']",moga manfaat
Mantap,Positif,mantap,mantap,['mantap'],mantap
Bagus,Positif,bagus,bagus,['bagus'],bagus
"ga pernah posting ga pernah coment, tiba tiba ke banned 80 hari, yasudah sekalian uninstal aja...",Negatif,ga pernah posting ga pernah coment tiba tiba ke banned  hari yasudah sekalian uninstal aja,ga posting ga coment banned yasudah uninstal aja,"['ga', 'posting', 'ga', 'coment', 'banned', 'yasudah', 'uninstal', 'aja']",ga posting ga coment banned yasudah uninstal aja
Lebih banyak mendapatkan informasi,Positif,lebih banyak mendapatkan informasi,informasi,['informasi'],informasi
"Aplikasi gak jelas,komen gak ada yg sarkas.malah kena Bane ..produk yahudi emang menyebalkan.komen positif malah dibane,komen esek2 malah aman.aplikasi sampah.",Negatif,aplikasi gak jelaskomen gak ada yg sarkasmalah kena bane produk yahudi emang menyebalkankomen positif malah dibanekomen esek malah amanaplikasi sampah,aplikasi gak jelaskomen gak yg sarkasmalah kena bane produk yahudi emang menyebalkankomen positif dibanekomen esek amanaplikasi sampah,"['aplikasi', 'gak', 'jelaskomen', 'gak', 'yg', 'sarkasmalah', 'kena', 'bane', 'produk', 'yahudi', 'emang', 'menyebalkankomen', 'positif', 'dibanekomen', 'esek', 'amanaplikasi', 'sampah']",aplikasi gak jelaskomen gak yg sarkasmalah kena bane produk yahudi emang menyebalkankomen positif dibanekomen esek amanaplikasi sampah
nice,Negatif,nice,nice,['nice'],nice
Kok banyak iklan males aku jadinya.,Positif,kok banyak iklan males aku jadinya,iklan males,"['iklan', 'males']",iklan males
Masya Allah 💦,Positif,masya allah ,masya allah,"['masya', 'allah']",masya allah
tambah sedulur... ayo saling follow.,Positif,tambah sedulur ayo saling follow,sedulur ayo follow,"['sedulur', 'ayo', 'follow']",dulur ayo follow
"Baguss aplikasinya bisa simpen foto apa aja suka banget aplikasi itu, suka banget sama aplikasi ini, seruu aplikasi itu 🤩👍🏻",Positif,baguss aplikasinya bisa simpen foto apa aja suka banget aplikasi itu suka banget sama aplikasi ini seruu aplikasi itu ,baguss aplikasinya simpen foto aja suka banget aplikasi suka banget aplikasi seruu aplikasi,"['baguss', 'aplikasinya', 'simpen', 'foto', 'aja', 'suka', 'banget', 'aplikasi', 'suka', 'banget', 'aplikasi', 'seruu', 'aplikasi']",baguss aplikasi simpen foto aja suka banget aplikasi suka banget aplikasi seruu aplikasi
Bagus. Inovatif,Positif,bagus inovatif,bagus inovatif,"['bagus', 'inovatif']",bagus inovatif
sukaaaa bgtttt sama apk nyaaaaa,Positif,sukaaaa bgtttt sama apk nyaaaaa,sukaaaa bgtttt apk nyaaaaa,"['sukaaaa', 'bgtttt', 'apk', 'nyaaaaa']",sukaaaa bgtttt apk nyaaaaa
Semoga data kami tetap aman,Positif,semoga data kami tetap aman,semoga data aman,"['semoga', 'data', 'aman']",moga data aman
sangat bagus,Positif,sangat bagus,bagus,['bagus'],bagus
good,Positif,good,good,['good'],good
Bsgus,Positif,bsgus,bsgus,['bsgus'],bsgus
keren ni aplikasi bisa nyambung sama ig cmn ndk tau chat caranya chat di sini gimana,Positif,keren ni aplikasi bisa nyambung sama ig cmn ndk tau chat caranya chat di sini gimana,keren ni aplikasi nyambung ig cmn ndk tau chat chat gimana,"['keren', 'ni', 'aplikasi', 'nyambung', 'ig', 'cmn', 'ndk', 'tau', 'chat', 'chat', 'gimana']",keren ni aplikasi nyambung ig cmn ndk tau chat chat gimana
kyk nya pd nyaman ya curhat di sini,Positif,kyk nya pd nyaman ya curhat di sini,kyk nya pd nyaman ya curhat,"['kyk', 'nya', 'pd', 'nyaman', 'ya', 'curhat']",kyk nya pd nyaman ya curhat
Apa² di batasi. Ga seru,Negatif,apa di batasi ga seru,batasi ga seru,"['batasi', 'ga', 'seru']",batas ga seru
sangat menyukai ini di sini saya bisa ungkap kan apa yg saya rasa kan hingga saya menjadi lebih tenang,Positif,sangat menyukai ini di sini saya bisa ungkap kan apa yg saya rasa kan hingga saya menjadi lebih tenang,menyukai yg tenang,"['menyukai', 'yg', 'tenang']",suka yg tenang
BAPERAN AMAT ANJJJ JADI DEVELOPER,Negatif,baperan amat anjjj jadi developer,baperan anjjj developer,"['baperan', 'anjjj', 'developer']",baperan anjjj developer
Mencoba gunakan thread,Positif,mencoba gunakan thread,mencoba thread,"['mencoba', 'thread']",coba thread
bagus,Positif,bagus,bagus,['bagus'],bagus
Keren,Positif,keren,keren,['keren'],keren
susah dapat like postingannya,Negatif,susah dapat like postingannya,susah like postingannya,"['susah', 'like', 'postingannya']",susah like postingannya
Kenapa ketika mau mengikuti atau pun berkomentar tidak bisa tolong di perbaiki,Negatif,kenapa ketika mau mengikuti atau pun berkomentar tidak bisa tolong di perbaiki,mengikuti berkomentar tolong perbaiki,"['mengikuti', 'berkomentar', 'tolong', 'perbaiki']",ikut komentar tolong baik
Awal mula bencana rumah tangga. Naudzubillah. Jangan di instal,Negatif,awal mula bencana rumah tangga naudzubillah jangan di instal,bencana rumah tangga naudzubillah instal,"['bencana', 'rumah', 'tangga', 'naudzubillah', 'instal']",bencana rumah tangga naudzubillah instal
Sering membatasi komentar,Negatif,sering membatasi komentar,membatasi komentar,"['membatasi', 'komentar']",batas komentar
opsional,Positif,opsional,opsional,['opsional'],opsional
Sangat bermamfaat,Positif,sangat bermamfaat,bermamfaat,['bermamfaat'],bermamfaat
mantabs,Positif,mantabs,mantabs,['mantabs'],mantabs
Trending,Positif,trending,trending,['trending'],trending
asik,Positif,asik,asik,['asik'],asik
Menyukai,Positif,menyukai,menyukai,['menyukai'],suka
Baguss,Positif,baguss,baguss,['baguss'],baguss
"Threads, an lnstagra...",Positif,threads an lnstagra,threads an lnstagra,"['threads', 'an', 'lnstagra']",threads an lnstagra
Top deh,Positif,top deh,top deh,"['top', 'deh']",top deh
Dari treads saya menemukan banyak orang berani mengekspresikan dirinya,Positif,dari treads saya menemukan banyak orang berani mengekspresikan dirinya,treads menemukan orang berani mengekspresikan,"['treads', 'menemukan', 'orang', 'berani', 'mengekspresikan']",treads temu orang berani ekspresi
bagus,Positif,bagus,bagus,['bagus'],bagus
Baru tau dan Bagusss akuu suka,Positif,baru tau dan bagusss akuu suka,tau bagusss akuu suka,"['tau', 'bagusss', 'akuu', 'suka']",tau bagusss akuu suka
Gokil ni app.,Positif,gokil ni app,gokil ni app,"['gokil', 'ni', 'app']",gokil ni app
Bagus,Positif,bagus,bagus,['bagus'],bagus
Canggih Sesuai dengan nama,Positif,canggih sesuai dengan nama,canggih sesuai nama,"['canggih', 'sesuai', 'nama']",canggih sesuai nama
"aplikasinya bagus dan mudah di gunakan sayangnya bnyak akun arsip atau akun ig pribadi yg hilang hanya karna utas threads, padahal hanya bikin utas biasa ngobrol dengan teman, tapi akun kita di tangguhkan sampai permanen, sumpah nyesek banget padahal kalo liat menu pelanggaran di bagian privasi kita samsek gapunya catatan/laporan pelanggaran,kan aneh :)",Negatif,aplikasinya bagus dan mudah di gunakan sayangnya bnyak akun arsip atau akun ig pribadi yg hilang hanya karna utas threads padahal hanya bikin utas biasa ngobrol dengan teman tapi akun kita di tangguhkan sampai permanen sumpah nyesek banget padahal kalo liat menu pelanggaran di bagian privasi kita samsek gapunya catatanlaporan pelanggarankan aneh ,aplikasinya bagus mudah sayangnya bnyak akun arsip akun ig pribadi yg hilang karna utas threads bikin utas ngobrol teman akun tangguhkan permanen sumpah nyesek banget kalo liat menu pelanggaran privasi samsek gapunya catatanlaporan pelanggarankan aneh,"['aplikasinya', 'bagus', 'mudah', 'sayangnya', 'bnyak', 'akun', 'arsip', 'akun', 'ig', 'pribadi', 'yg', 'hilang', 'karna', 'utas', 'threads', 'bikin', 'utas', 'ngobrol', 'teman', 'akun', 'tangguhkan', 'permanen', 'sumpah', 'nyesek', 'banget', 'kalo', 'liat', 'menu', 'pelanggaran', 'privasi', 'samsek', 'gapunya', 'catatanlaporan', 'pelanggarankan', 'aneh']",aplikasi bagus mudah sayang bnyak akun arsip akun ig pribadi yg hilang karna utas threads bikin utas ngobrol teman akun tangguh permanen sumpah nyesek banget kalo liat menu langgar privasi samsek gapunya catatanlaporan pelanggarankan aneh
Baik,Positif,baik,,[],
good,Positif,good,good,['good'],good
sangat membantu dan bisa mempunyai banyak teman,Positif,sangat membantu dan bisa mempunyai banyak teman,membantu teman,"['membantu', 'teman']",bantu teman
bagus,Positif,bagus,bagus,['bagus'],bagus
lumayan lah,Positif,lumayan lah,lumayan,['lumayan'],lumayan
Baru nyoba,Positif,baru nyoba,nyoba,['nyoba'],nyoba
Ok,Positif,ok,ok,['ok'],ok
baik,Positif,baik,,[],
Hati2 makai Thread. Qkun IG mu lenyap di nonaktifkan sepihak,Negatif,hati makai thread qkun ig mu lenyap di nonaktifkan sepihak,hati makai thread qkun ig mu lenyap nonaktifkan,"['hati', 'makai', 'thread', 'qkun', 'ig', 'mu', 'lenyap', 'nonaktifkan']",hati maka thread qkun ig mu lenyap nonaktif
Good👍,Positif,good,good,['good'],good
OK👍,Positif,ok,ok,['ok'],ok
"Halo admin, awalnya sebelum main th akun ig saya aman² aja, tapi knp pas main th kok tiba² dpt notif akun anda dinonaktifkan dan harus pengajuan banding. Pas udh pengajuan banding akun saya malah ilang. Tolong dong dibenerin lagi biar ga ngaruh ke Ig org, tlg jg akun² yg folls besar sprti punya saya hilang gitu ngrs kesel bgt sakit hati kecewa, bner² ini apk tdk sprti yg ku duga. Ngancurin semua hidup org akun Ig nya harus dinonaktifkan pdhl g salah apa² g ngelanggar aturan, udh 3× dpt notif gtu",Negatif,halo admin awalnya sebelum main th akun ig saya aman aja tapi knp pas main th kok tiba dpt notif akun anda dinonaktifkan dan harus pengajuan banding pas udh pengajuan banding akun saya malah ilang tolong dong dibenerin lagi biar ga ngaruh ke ig org tlg jg akun yg folls besar sprti punya saya hilang gitu ngrs kesel bgt sakit hati kecewa bner ini apk tdk sprti yg ku duga ngancurin semua hidup org akun ig nya harus dinonaktifkan pdhl g salah apa g ngelanggar aturan udh  dpt notif gtu,halo admin main th akun ig aman aja knp pas main th dpt notif akun dinonaktifkan pengajuan banding pas udh pengajuan banding akun ilang tolong dibenerin biar ga ngaruh ig org tlg jg akun yg folls sprti hilang gitu ngrs kesel bgt sakit hati kecewa bner apk tdk sprti yg ku duga ngancurin hidup org akun ig nya dinonaktifkan pdhl g salah g ngelanggar aturan udh dpt notif gtu,"['halo', 'admin', 'main', 'th', 'akun', 'ig', 'aman', 'aja', 'knp', 'pas', 'main', 'th', 'dpt', 'notif', 'akun', 'dinonaktifkan', 'pengajuan', 'banding', 'pas', 'udh', 'pengajuan', 'banding', 'akun', 'ilang', 'tolong', 'dibenerin', 'biar', 'ga', 'ngaruh', 'ig', 'org', 'tlg', 'jg', 'akun', 'yg', 'folls', 'sprti', 'hilang', 'gitu', 'ngrs', 'kesel', 'bgt', 'sakit', 'hati', 'kecewa', 'bner', 'apk', 'tdk', 'sprti', 'yg', 'ku', 'duga', 'ngancurin', 'hidup', 'org', 'akun', 'ig', 'nya', 'dinonaktifkan', 'pdhl', 'g', 'salah', 'g', 'ngelanggar', 'aturan', 'udh', 'dpt', 'notif', 'gtu']",halo admin main th akun ig aman aja knp pas main th dpt notif akun nonaktif aju banding pas udh aju banding akun ilang tolong dibenerin biar ga ngaruh ig org tlg jg akun yg folls sprti hilang gitu ngrs kesel bgt sakit hati kecewa bner apk tdk sprti yg ku duga ngancurin hidup org akun ig nya nonaktif pdhl g salah g ngelanggar atur udh dpt notif gtu
"Saya Pengguna baru jadi masih blm bisa ngasih ulasan tentang apk ini,tapi saya harap ini bisa memuaskan pengguna",Positif,saya pengguna baru jadi masih blm bisa ngasih ulasan tentang apk initapi saya harap ini bisa memuaskan pengguna,pengguna blm ngasih ulasan apk initapi harap memuaskan pengguna,"['pengguna', 'blm', 'ngasih', 'ulasan', 'apk', 'initapi', 'harap', 'memuaskan', 'pengguna']",guna blm ngasih ulas apk initapi harap muas guna
real.,Positif,real,real,['real'],real
