userName,score,at,content
DIKA DWI,5,2024-06-26 22:44:24,Dari treads saya menemukan banyak orang berani mengekspresikan dirinya
aly zaenal Abidin,4,2024-06-26 21:43:23,bagus
Putriani Putriani,4,2024-06-26 21:23:16,Baru tau dan Bagusss akuu suka
Fauzan Afandi,3,2024-06-26 17:02:19,pembaharuan tiap hari kah ?
Agung Lesmana,5,2024-06-26 16:55:46,Gokil ni app.
Raka Tea,5,2024-06-26 16:03:15,Bagus
Khai Ruddin,4,2024-06-26 15:43:29,Canggih Sesuai dengan nama
Nizma Sahara,1,2024-06-26 14:37:29,"aplikasinya bagus dan mudah di gunakan sayangnya bnyak akun arsip atau akun ig pribadi yg hilang hanya karna utas threads, padahal hanya bikin utas biasa ngobrol dengan teman, tapi akun kita di tangguhkan sampai permanen, sumpah nyesek banget padahal kalo liat menu pelanggaran di bagian privasi kita samsek gapunya catatan/laporan pelanggaran,kan aneh :)"
Zet panahal Losoh,5,2024-06-26 14:25:21,Baik
Segita Mei,5,2024-06-26 13:45:35,good
Deden Sumarna,5,2024-06-26 13:38:43,sangat membantu dan bisa mempunyai banyak teman
Erlin Bunga,4,2024-06-26 13:25:58,bagus
Atirah Atirah,4,2024-06-26 13:05:54,lumayan lah
Apendi Shea,5,2024-06-26 12:34:09,Baru nyoba
delly rampen,5,2024-06-26 11:47:32,Ok
Doddy 100685,5,2024-06-26 11:37:33,baik
Whis Cryogenic,1,2024-06-26 10:23:21,Hati2 makai Thread. Qkun IG mu lenyap di nonaktifkan sepihak
Yonas Wong,5,2024-06-26 06:16:51,Good👍
Fajri -,5,2024-06-26 05:19:34,OK👍
Haliza Bunga,1,2024-06-26 03:31:35,"Halo admin, awalnya sebelum main th akun ig saya aman² aja, tapi knp pas main th kok tiba² dpt notif akun anda dinonaktifkan dan harus pengajuan banding. Pas udh pengajuan banding akun saya malah ilang. Tolong dong dibenerin lagi biar ga ngaruh ke Ig org, tlg jg akun² yg folls besar sprti punya saya hilang gitu ngrs kesel bgt sakit hati kecewa, bner² ini apk tdk sprti yg ku duga. Ngancurin semua hidup org akun Ig nya harus dinonaktifkan pdhl g salah apa² g ngelanggar aturan, udh 3× dpt notif gtu"
Karyono Karyono,4,2024-06-26 02:04:18,"Saya Pengguna baru jadi masih blm bisa ngasih ulasan tentang apk ini,tapi saya harap ini bisa memuaskan pengguna"
Purnama Risma Pardede,5,2024-06-26 01:59:45,real.
Syaa Akira,4,2024-06-26 01:01:22,"shebel bgt masa ig gue jadi sering ditangguhkan?? 😠😠 pikir aja sm luw, gue pagi pagi buka ig, harus verif gini gitu, kan cape 🙎🏻‍♀️ pdhl gue ga cerita aneh aneh, jelek banget siiw, GsukaDeh, tp y ak males karna ig aku sering ditangguhkan aja y, si far selain masalah jelek itu yang apaan banget yang lainnya gemes, baik baik aja yh 😜 tp mksi yh aku jd bisa ngobrol 🤭🤭 xixixie"
Putri Wulandari,4,2024-06-26 00:20:43,Baik
I Wayan Suryawan,5,2024-06-26 00:19:27,Luar Biasa
Maryana Ana,5,2024-06-26 00:14:15,"saya pemula di treads ini, jadi belum banyak teman...apalagi yang nonton dan like... semoga kedepannya lebih baik lagi"
Yuga Rudi,1,2024-06-25 20:50:41,Tolong perbaiki dong. Saya follow orang hanya bisa 50 maksimal.. tolong kembalikan seperti dulu . Maksimal 300
wah yono,5,2024-06-25 16:04:55,sangat menarik untuk mengapreasikan perasaan hat
Indramakmursese Indra,5,2024-06-25 15:37:27,sangat membantu
Dan Ibrahim,5,2024-06-25 13:51:41,ok
Cristina Olivia Sitompul,5,2024-06-25 13:11:39,bgs dribble
Dio And Game,1,2024-06-25 12:16:53,"akun threads di bio instagram tidak bisa disembunyikan, minimal sedikit memahami lah kalau ga semua pengguna mau ada nama akunnya di bio terpampang segede itu, mohon di update selanjutnya akun threads nya bisa di hide dari bio ig saya mohon🙏"
Andra Teksy,3,2024-06-25 11:25:47,saya kasih bintang 3
Bang Per Ferry (Ferry Mulydi),5,2024-06-25 05:40:09,"Aplikasi sangat bagus, sayangnya masih sering ada bug, sering ada masalah jika mau komen, sering dikenai batasan ... Selebihnya oke ... Gara gara thread kita bisa curhat, ngoceh , dan bersosialisasi dengan warga thread sendiri"
kisman ishak,5,2024-06-25 04:46:09,the best
daniel dita,1,2024-06-25 04:15:57,Kenapa thread / instagram suka main akun saya ditangguhkan tunggu aja closed service
Orang,4,2024-06-25 04:12:33,"Kayak Ig biasa, Tpi disini tmnku lebih bnyk"
Abdara Abdara,5,2024-06-25 04:03:46,sangat termotivasi adanya aplikasi ini. sehinnga saya bisa melakukan kegiatan lebih banyak lagi.
Putu Ayuni,5,2024-06-25 03:57:39,Pengetahuan zaman teknologi DIGITAL MODERAN yg mencerdaskan juga wawasan tentang kemajuan peradaban dunia🙏
Tedy Juliansyah,5,2024-06-25 03:25:53,Good
Rifatul Mahmudah,1,2024-06-24 17:52:16,Threads jelek banget sumpah akun ig gue ke blokir gegara main treads dan kena suspend trs sample 14 kali tingga yang ke 15 kali akhirnya ga bisa confirmed lagi 😡😡😡
Ismat Vaisz Gagah,5,2024-06-24 17:04:44,Mantao
juned juned,4,2024-06-24 16:38:05,Semoga Kedepan akan semakin ramai ..
Polmen siadari,3,2024-06-24 15:43:19,biarkan tetap begini.
Herlan Sukajadi,1,2024-06-24 15:43:03,Tidak bisa login
Andika Hermino,3,2024-06-24 13:57:06,Br mencoba klo bagus ku kasi bintang 5
Binsar MH Malau,5,2024-06-24 11:55:16,"Bagi saya aplikasi ini sangat bagus dan menginspirasi kita utk mengembangkan bakat ngonten, utk lebih detailnya silahkan download aplikasi nya."
putra uta,2,2024-06-24 11:53:27,WOI GRGR LO AKUN CWE GUE ILANG SHAATT
R Wan,1,2024-06-24 11:32:34,"Cuma buat posting posting doang, buat apa gk guna. Cari jodoh gw mah, taaruf"
Fikri,3,2024-06-24 11:28:48,Sya cuba dulu bagi 3 🌠🌠🌠
Hernawan Labib,4,2024-06-24 10:56:31,"Baru pake seminggu kok gk bisa posting,gk bisa komen,, akun di batasi, salah saya dimana ya"
Sabrina Oktavia,5,2024-06-24 10:09:56,Bagussss bangetetet
Sarah Yoisangadji,4,2024-06-24 09:23:46,Bagus
Wahyu Hermawan,5,2024-06-24 08:23:44,sak josse
yudhi bale,5,2024-06-24 08:09:06,keren
Anastasya Yustika,5,2024-06-24 06:19:57,"seneng banget pake threads , orang orang nya positif vibes dan ramah serta saling support ✨🤍"
BaymsLBTC,1,2024-06-24 01:45:46,males ga bisa bikin fyp
Syifakinara Azahra,1,2024-06-24 01:10:01,Pendo
Isna Saratu,5,2024-06-23 23:47:56,Baru mau coba pakai
nandar Ismail,4,2024-06-23 15:30:02,Terjemahan teksnya belum ada
Akrim Kim,5,2024-06-23 13:14:51,Baguss sejauh in
Qurotul Aeni,5,2024-06-23 12:42:39,bagus bgt aplikasi nya
Sena Sonjaya Akbar,1,2024-06-23 10:57:33,"Saya tidak memuat konten negatif apapun dan tidak berkomentar negatif, akun saya malah dibekukan oleh pihak Treads, kenapa ya ? Kok akun porno, akun gak jelas, fake account, akun yang membagikan hal2 yang bersifat negatif malah dibiarkan berseliweran ?"
Stenly Almaarif,1,2024-06-23 09:20:44,Gajelas
Sindi Maulida,5,2024-06-23 07:10:19,sistem UI nya enak dan postingan yang lewat sesuai minat
Garam Goreng,5,2024-06-23 05:49:24,"cukup memuaskan, semoga updatenya juga lebih baik"
Gallen Ganendra,1,2024-06-23 05:15:28,"Buat Kalian yg login threads terutama yg threadsnya suka ke log out sendiri, coba cek keamanan deh, abistu tempat login, ada gambar pc (perangkat tidak dikenal) gak. soalnya udah 3 kali ini IG gua kena penangguhan terus awalnya mikir kena hack tapi baru ngeh setiap buka thread ig ada yg login perangkat baru sadar kayanya ini aplikasi bikin bug, kalo ada saran apus aja threadnya, daripada eror malah merambat ke ig nya langsung"
Riduan Duan,5,2024-06-23 03:11:06,Siip
David Scr,1,2024-06-23 02:47:26,Nice apk
Raraa Aura,5,2024-06-23 02:16:12,💗💗💗💗💗💗
Mutiara Salsabila,3,2024-06-22 22:54:37,"Halo, kenapa threads saya tidak bisa posting tulisan ya? Tolong jawabannya, dan akhirnya saya uninstall. Sekarang coba download lagi semoga bisa posting tulisan."
Dua putra IzzuLdavanka,1,2024-06-22 17:34:10,Iklanya aplikasi ini sangat mengganggu
Dee Shop,5,2024-06-22 16:23:37,I like instagram
Michael Paniroi Napitupulu,5,2024-06-22 16:06:08,Ok
setiawan pribadi,5,2024-06-22 15:20:48,Bagus
Nova Kristiana,5,2024-06-22 15:14:23,Saranku Tolong Threads Bisa Bikin Versi Lite Karena Minim RAM Internal Semoga Dipertimbangkan🙏🙏🙏
dying funeral,5,2024-06-22 14:29:03,Bagus cuma blom terbiasa saja
Fela Cahyani,5,2024-06-22 13:39:30,Bintang dulu blm ku coba aplikasiny
Rere,2,2024-06-22 12:40:36,Apasi klo buat apk tu yg bener masa iya ngebug trus padahal jaringan ok pakek wifi rumah aj masih tetep.
Musya Warah,5,2024-06-22 11:34:52,Pengalaman mengajarkan kita tentang kebaikan sistem pelayan trip yg dapat kita terapkan
Yuni Astuti,5,2024-06-22 10:39:46,asikk
Roni Septian BK,5,2024-06-22 09:35:38,"Alternatif X, moga kedepan lbh baik ya threads ❤️"
Stefany Fany,1,2024-06-22 09:01:44,I don't know why the three dots at the left top of my post doesn't appear.
Java Harmony,5,2024-06-22 08:06:13,Walau rakyat threads belum ' seganas' warga X....tapi lumayanlah untuk hiburan. Kalo medsos sebelah jadi ditutup sama si Darto Helm KW....ya pindah ke threads.
Gusti putu Eka mahaarta,5,2024-06-22 07:52:24,mantul
Noldy Van Rate,5,2024-06-22 07:15:15,sangat keren aplikasinya
Agus Susanto,5,2024-06-22 07:07:19,Good
Marselia Bidullah,5,2024-06-22 05:48:54,Menjadi aktifis yang lebih baik dan mengembangkan lagi thanks ya
Agus Karwanto,5,2024-06-22 04:00:31,ok
Yosi Haryoso,5,2024-06-22 03:30:20,Oke
Anrikho Putra Bagaskara,1,2024-06-22 03:09:59,Ngga masuk akal pembatasannya
Chevi Ibots,4,2024-06-22 02:26:41,okeh
ali susanto,5,2024-06-22 00:10:27,Ok
Zamriaty Piliang,3,2024-06-21 19:09:10,"App nya update otomatis,setiap update balasan komentar tidak muncul..bikin kesel aja..jdi gak bisa lihat balasan komentar kita.. hrus hpus data lagi dan login ulang,begitu aja trus..asal mau lihat balasan koment hrus hpus data dlu..jdi gak nyaman pake app ini"
Suciati Salsa,5,2024-06-21 16:37:56,Aku senang aplikasi in sangat membantu dn menghibur
Kharisma Dody Sanggar Pratama,5,2024-06-21 15:57:26,Pindah ke sinilah kita Twitter X mau di hapus sma Kominfo .. parah sih 😣🙂
Rossanda Edmond,5,2024-06-21 14:29:04,Ok
Mann Hasann,5,2024-06-21 11:47:45,👍🏼👍🏼👍🏼
Wisnu Ramadhani,5,2024-06-21 10:57:05,Good
Titin fatmawati,5,2024-06-21 09:16:08,Please jangan ada link² jualan yah
Malahayati Karami,5,2024-06-21 09:07:16,saya suka sekali aplikasi ini
Eni Kusriyanti,5,2024-06-21 08:45:28,baru gabung smg byk mendapat kn tambah ilmu yg manfaat dunia & akherat
mu sa,5,2024-06-21 08:34:32,bagus
Piet Yogya,3,2024-06-21 07:45:49,baca komen wajib ketik 1 dulu
Hendra Karnudin,5,2024-06-21 06:01:40,Mantul
Aulia 08,5,2024-06-21 05:35:07,Menyenangkan
Black Jack21,5,2024-06-21 03:48:14,Ok. Bagus.
Halimah Daud,5,2024-06-20 18:18:33,Suka
Muhammad Zainal Abidin,5,2024-06-20 17:46:38,Bisa jadi bahan penghilang kegabutan di rumah
ibrahim ilhmk,5,2024-06-20 15:28:34,gelut ajg ah
Arifin Ilham,5,2024-06-20 14:56:05,Kerja bagus
Deni Sofyan,5,2024-06-20 13:32:26,Top
Sliteracy 54,5,2024-06-20 13:04:22,mantep deh
Seni Molen,1,2024-06-20 12:30:08,Thread saya sendiri kenapa ga muncul ??? Padahal baru diposting ya ampooonnnnn. Diupdate malah gabisa dibuka
Rere Reny,4,2024-06-20 11:44:42,"Asli, aku bingung, apa bedanya Threads dan IG? Sama aja, bedanya bisa upload tanpa foto doang."
ARIF SAPUTRA,5,2024-06-20 10:19:20,👍
Najwa Shafa Caroline,5,2024-06-20 09:48:15,sumpahh seru abiezzz
go Lembang official tv,4,2024-06-20 07:58:18,Baru mau coba apakah aplikasi ini hebat
Aginta Sinaga,5,2024-06-20 07:52:10,baik
Bambang Kaka,5,2024-06-20 06:55:14,Bagus
agus Gunawan,5,2024-06-20 04:57:00,Terbaik
Kafanial _Kafa,5,2024-06-20 04:16:43,"threads, gw sukak bgttttttt!!!!"
MANADO JITU HK,5,2024-06-19 15:48:24,Good
Gregorius Sergio,5,2024-06-19 13:43:49,lumayan
Yakub Sarianto,3,2024-06-19 13:42:11,Ribet diikuti
Afdhal Ashar,1,2024-06-19 13:07:30,Ini gimana gimana kita bisa lihat utas orang yang kita follow??
Firsy Stevany,5,2024-06-19 12:06:38,Sayaaa sukaaaaaaa🥰🥰
Cucuk Maryanto,3,2024-06-19 07:52:07,belum dapet feellnya
Immanuel Gorisalam,1,2024-06-19 07:45:52,"Udah hmpr 10 tahun pake aplikasi IG aman2 sj gak pernah kena banned ,pas instal aplikasi threads 2 hari kemudian tanpa sebab langsung kena banned , IG juga kena banned , padahal gak posting ap2 , langsung gue hapus aplikasinya 👎"
HaBiBi OfficialTV,5,2024-06-19 06:24:11,😎MANTAP👍🏻
Ibu Maura,5,2024-06-19 04:43:24,Good
Danang Prast1979,5,2024-06-19 01:07:18,Masih fresh jadi belum terkontaminasi
Wiji Yuana,5,2024-06-19 00:13:45,Bagus saya suka🥰
Agustinur M.H Saputri,5,2024-06-18 23:20:49,Hallo admin meta. Sejauh ini aplikasi threads sudah bagus. Tapi kenapa kalau mau posting ke instagram story tidak muncul background tulisan threadsnya yah? Tolong ditampilkan kembali karena menurut saya itu sangat bagus sekali karena menambah kesan yang bagus di instagram story. Terimakasih 🙏🏻🙏🏻🙏🏻
Nofril Fauzi Fauzi,5,2024-06-18 22:36:39,Sangat membantu
nurul wahidah,5,2024-06-18 21:46:17,"belum lama pakai aplikasi ini, menurut saya bagus juga untuk share berita terbaru, kebanyakan orang cuma untuk tempat curhat. aplikasi ini mirip aplikasi yang dulu"" path """
Wahyu arsam,5,2024-06-18 16:30:07,sangat menarik
Edison Sihombing,4,2024-06-18 16:25:34,Bagus
Sri Widyastuti Usman,1,2024-06-18 14:30:07,"Ini serius threads kek gini? Semenjak pke threads akun IG ku sering ke blokir tanpa alasan yang ga masuk akal, suka minta diajuin banding ga cuma sekali tp berkali² dalam sehari."
icha Cantik,1,2024-06-18 11:58:00,Ok
TIO NURPALAH,5,2024-06-18 11:36:00,aplikasi Amajing
mama yogi,5,2024-06-18 10:35:32,"Ga bisa download vidio² nya,kenapa ya?🙏"
Risman Rusmana,5,2024-06-18 09:00:05,top banget
JULIANTO77X GMKFAMILYID (JULIANTO),5,2024-06-18 07:58:16,saya suka aplikasi ini semua orang ramah dan sopan dalam berkomentar 👍
Lyuvv,5,2024-06-18 05:53:06,keren
Aris Fajar Priyono,5,2024-06-18 05:33:43,Tampilan bagus cuma rentan kena pelanggaran setiap bikin utasan. Padahal tidak ada unsur yang melanggar
Redi Riki,1,2024-06-18 05:04:57,"Tidak bisa dipake comment, tolong diperbaiki"
Jafaya al Ansorri,5,2024-06-18 04:37:32,Interesting
Bang Ujd,4,2024-06-18 03:57:30,Ok
Driyanto Kriswan,5,2024-06-18 01:25:47,Berfungsi dengan baik.
Julia us maya Maya,3,2024-06-18 00:29:46,Sangat bagus n
gian harianto,3,2024-06-17 16:44:17,syang gk bisa dm
Andah Febriana,5,2024-06-17 15:12:09,oke
Nadya NF,5,2024-06-17 13:45:04,seruuuuu
Panjul 21,5,2024-06-17 13:31:55,keren juga
Dewinahdlatul,5,2024-06-17 12:31:48,ok aja si buat menuangkan isi dihati
Juli Padli,5,2024-06-17 11:57:05,☕🚬☕
Charĺes Nahak,5,2024-06-17 11:40:21,"Saya sangat menyukai aplikasinya mirip dengan twiter, tingkatkan dan semoga ada fitur baru"
Kristin Devi,5,2024-06-17 11:12:28,"keren, bagus."
Yuana Dwi Atmodjo,3,2024-06-17 07:24:04,Sangat bagus aplikasinya
ARD' Ginory,3,2024-06-17 04:20:10,Coba dulu
Sri Resminingsih,5,2024-06-16 22:57:27,Seru juga ya memakai aplikasi Threads jadi banyak lebih informasi dan ide yang kita dapat di media sosial..thank you
Al Riza Karunia,5,2024-06-16 16:52:45,Simple
Doni Lolowang,5,2024-06-16 15:13:34,Good
Adibs 1203,4,2024-06-16 14:04:48,"untuk saat ini lumayan asik,tapi gatau deh kedepannya tambah baik apa makin buruk"
Mahardika Dika,5,2024-06-16 14:02:46,Okkkkkkkkkkk
Wahyuni 21 Hyuni21,1,2024-06-16 11:02:42,Tes aja dulu
Ikbal Aditia Maulana,5,2024-06-16 09:14:41,"I Like Threads, an Instagram app!"
Rey14 Channel,5,2024-06-16 07:39:51,good👍❤
Dyraf Indyraf,5,2024-06-16 07:28:40,Keren 👍👍👍
Iqbal Afiza,5,2024-06-16 07:06:43,Baguss
Amie HRUI,4,2024-06-16 02:09:20,"Apa ada yang sering ditangguhkan akun IGnya setelah instal Threads? Sejak setelag instal aps ini, IG saya sering ditangguhkan. Ada yang tau kenapa?"
jab oda,5,2024-06-16 01:51:42,Ok lah
Revita Amelia,5,2024-06-15 21:36:53,Apkny bagus bhkn lebih rame pas moots dan saling follow
Reka Mulahi,5,2024-06-15 21:18:57,okay
Hayrun Nisa,2,2024-06-15 16:38:00,Aplikasi ini emang sangat bagus hampir mirip dengan twitter tpi sayang nya aplikasi ini hanya Di gunakan untuk Di dalam negri untuk di luar negri ketika di pakai aplikasi ini tidak akan mendukung.ketika kembali kedalam negri aplikasi ini tidak bisa di gunakan kembali seperti sebelumnya 😔
WARTININGRUM 29,2,2024-06-15 12:49:31,"Help me please! Padahal baru install beberapa bulan tapi gabisa dipakai ngtreads, ini kenapa ?"
rsm snn864,1,2024-06-15 12:29:05,Maap Salah orang
Abisam 66,5,2024-06-15 10:34:31,Bagus tp klo mau lihat komentar org gk bisa di buka
Kama sutra,5,2024-06-15 08:11:26,good
TV Samsung 65AU7000,4,2024-06-15 07:35:07,"rame pas awal doang, akhirnya sepi, jadi lebih baik instagram"
Eva Lestari,5,2024-06-15 06:51:58,bagus jangkauan makin luas
Fanesha Okta,5,2024-06-15 05:52:21,sangat baguss dan sangatt membantu
Satria Okta71,5,2024-06-15 05:50:56,Sya blum ad pengalaman buat video....
Siti Rodiah,5,2024-06-15 04:55:43,cuma buat nulis keluh kesan gue aja.
Yulinda Nita,5,2024-06-15 04:25:55,Good
Sarlince Bili,3,2024-06-15 03:18:43,Sdh sangat baek
Heru Soleh,5,2024-06-15 01:11:13,Oke
Hanrie Hilfiger,5,2024-06-14 22:01:20,Kok nggak bisa bales pesan ya
Steffina Alexa,2,2024-06-14 19:39:15,SEPI AMAT NIH APLIKASI
Nur Agustin,5,2024-06-14 17:33:01,bagus sih bisa jdi tempat xurhatku
Hani Sukmawati,5,2024-06-14 13:30:34,cukup
Balfir YT,1,2024-06-14 12:19:39,"Saya hapus Krn Mnrt sy didalamnya kurang menarik dan agak sepi hehehehe, tidak seperti Twitter klo ngecuit pasti rame"
Indra Agus,5,2024-06-14 06:40:12,"Bebas kebencian, penuh kelucuan.... 😅👍🏼"
yanti gibag,5,2024-06-14 06:23:38,bagus dan byk yg menarik
Ridwan Pashter,1,2024-06-14 05:45:09,Bagus
Iyus Rustaman,5,2024-06-13 18:29:46,Udah bagus tinggal disempurnakan aja
eka raga dewantara,5,2024-06-13 15:12:22,Mantap
Putra Ggp,5,2024-06-13 13:32:45,Okook
Hanifa Fitri Zuhra,5,2024-06-13 10:38:20,masyaallah tabarakaullahhh bunda bunda
Abdul Kahpi,5,2024-06-13 10:05:58,Ok
Fahri Ramadhan,5,2024-06-13 10:03:05,bagus banget
Muammar Syarbini,5,2024-06-13 08:07:27,Please give an option to make accounts without having IG ID
Deky The Explorer (Deky Pegali),5,2024-06-13 07:08:35,ok
Papah Alifa,5,2024-06-13 07:05:07,sangat bagus sekali
Shinchan Lembah,2,2024-06-13 03:30:12,Zttd add ta tdrasAx
Viona,5,2024-06-13 01:58:47,𝑾𝒐𝒘
Moh Fikrih,1,2024-06-13 01:42:15,Di banned semantara terus Instagram
Khansa LN,5,2024-06-12 22:28:10,Why did you remove the edit thread feature? :(
Ardi tama,5,2024-06-12 22:19:48,Gaaaasss 🔥
Iman Ruhiman,3,2024-06-12 21:39:44,dicoba dulu kasih tiga
Nugrah Nuga,5,2024-06-12 12:25:42,udh di ksih bintang 5. jdi setiap postingan aku kasih fyp yh biar bnyk yg jangkau like dan komen🤍🤍🤍
SUGIYARTO. TOLE,5,2024-06-12 12:22:14,Oke
Ela Hayati,5,2024-06-12 11:35:56,keren sih
james laurens,5,2024-06-12 08:40:34,Ok
Kris Junaedy,1,2024-06-12 07:44:35,kekurangan nya..komentar org lain tdk bisa dibaca apabila gambar atau video tdk punya keterangan teks..
Hoirul bari,5,2024-06-12 04:02:15,ini bagus
Ahmad Rijal,2,2024-06-12 02:06:06,"Kenapa yah apk nya kalo aku mau merubah foto profil nya gak ada poto poto ku yang di SD card, jadi profil nya gak bisa di atur"
Tenny,5,2024-06-11 23:24:40,Belum ngerti sama aplikasi Threads.untuk apa
Sani Candra,5,2024-06-11 22:42:13,lebih luas melihat dunia publik.
Sandy Priambodo,2,2024-06-11 21:46:37,Gabisa hapus pengikut yang profilnya cewek sangek mulu
MOTOR HONDA,5,2024-06-11 17:03:56,aplikasi sangat membantu soal akun
Su Man,4,2024-06-11 16:45:38,SEMOGA SUKSES Selalu
Erik Sunaryo,5,2024-06-11 15:51:47,"Recommended buat nambah teman, sahabat dan mudah digunakan"
Nasril Ilham,5,2024-06-11 15:22:51,Ini adalah aplikasi pengganti X Twitter yang hampir menyerupai persis. Sejak beredar rumor bahwa bos meta Mark akan duel 1 vs 1 dengan bos Twitter X mas Elon aplikasi ini semakin populer dan banyak diunduh oleh pengguna menurut saya ini aplikasi yang bagus untuk informasi
Jajang Nurjaman,4,2024-06-11 15:18:32,kasih 4 dulu soalnya baru nyobain
Vyola meilinda,5,2024-06-11 14:11:27,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
Predi Darmanto,5,2024-06-11 13:55:21,Aplikasinya bagus
Obung Kreatif,5,2024-06-11 12:56:25,sangat bagus👍👍👍♥️♥️♥️
Umma Fatih,1,2024-06-11 12:29:32,Jelek selalau kena penangguhan
Randy Alfredo,5,2024-06-11 10:33:36,Sangat suka
Arif Ramdan,5,2024-06-11 05:54:57,jelek
Akos Koswara,5,2024-06-11 05:22:53,nice good.
Fajrian Noor,5,2024-06-11 02:54:44,Belum tau apa ini kawan ae
cuy wakacuy.,1,2024-06-10 22:49:37,"Gak jelas, baru download malah disuruh update aneh"
Jopie henie Saerang,5,2024-06-10 19:43:28,nice
Connie Ivonne,3,2024-06-10 15:55:09,"disini sptnya 'clean' dari buzzer yg punya kepentingan spt halnya di IG dan medsos lain. disini lbh real life, berbagi ttg hal2 sehari.. bukan juga yg ajaib2 atau case2 nyeleneh... seperti talking each other no hate feeling... just want to share. Now, at the present time, but who knows next?"
YODEAR WANIMBO,5,2024-06-10 15:24:21,"Apk ini bagus, cuman sedikit lamban"
Dani Bocah Tua Nakal,3,2024-06-10 14:21:30,Good
Fei Shal,5,2024-06-10 12:21:11,I love this app UI/UX. Also the community is really positive!!! I enjoy the environment ❤️
Navi gaming,5,2024-06-10 10:02:24,Akakak
Roy ctbc,4,2024-06-10 09:41:36,Dengan aplikasi ini dapat saling mengirim pesan dan juga video
encek rio,1,2024-06-10 08:31:51,nunggu followers nya banyak dulu
Agus,2,2024-06-10 07:45:08,Assalamualaikum warahmatullahi WB
Kacang Kulit,4,2024-06-10 07:01:40,empat dulu..
Ray Andika (Rayka),5,2024-06-10 05:45:04,Terima kasih Threads 🎭
Cantika dewi Lestari,5,2024-06-10 03:31:55,Sangat bagus
Mistriyah Martinez,5,2024-06-10 00:48:22,sangat bagus
Bang Boriel,5,2024-06-09 23:31:41,Amazing Spider-Man
Peni yunita Peni yunita,5,2024-06-09 21:42:50,Dedi sabara Nst
Razaq Mon,5,2024-06-09 15:57:09,bagusss ada daget wkwkk
harun haeruddin,5,2024-06-09 13:15:42,bagus
good boy,4,2024-06-09 11:35:52,Tolong beri akses untuk meng-upload foto dari drive dan google foto saat akan memposting utas.
Antun Khoirul,5,2024-06-09 09:42:05,Bojonegoro
Nur Achmad Junairi,5,2024-06-09 07:15:29,good application...
Tara Alamsyah,3,2024-06-09 02:20:58,Tambahkan fitur trending hari ini seperti X/Twitter agar bisa bersaing dan persaingan yang seru!!
sutahrir Boim,5,2024-06-08 22:47:56,bagus bgt benar2 aplikasi manusia jaman Now !
Kejay Squad,3,2024-06-08 22:39:36,Woke..
-HeRu_InD!HoMe-,5,2024-06-08 21:55:22,Ok
Nur Akmal,2,2024-06-08 15:34:54,"ketika saya memposting sesuatu muncul notifikasi di Instagram teman saya padahal saya udah menonaktifkan pengaturan ""sarankan postingan di Instagram"""
MUHAMMAD TAMAIR Delon (DELON),5,2024-06-08 11:03:09,👍👍👍👍
M Nur Is,5,2024-06-08 09:32:58,"sungguh sangat memuaskan jika memiliki aplikasi Threads,,,,,"
Hat's Thea,5,2024-06-08 04:59:08,bagus aku suka..☺️
Nanin Sr,5,2024-06-08 03:02:18,sangat membatu menambah informasi
Ulan Ulan,5,2024-06-08 02:42:47,Sangat bagus
Keinarra Denny,4,2024-06-07 18:21:59,Mboh
Sulis Tya,1,2024-06-07 11:37:41,ga suka dan abis download daftar stelah tau langsung hpus 🤣
Andre Aj,5,2024-06-07 10:31:18,apkalsi yang bagus
Netizen Biasa,1,2024-06-07 05:47:55,Ampas ga bisa baca komen
Alice Ainsley,3,2024-06-07 04:23:18,Kalau langsung buka dari Instagram kok ga bisa sih?
Kholidah Tamami,5,2024-06-07 00:19:03,"Kholidah Tamami, (olie tamami) aku suka threads~ Twitter bagus (Alm. Tamami Kamsari)"
win arsih,5,2024-06-06 15:53:26,Bagus
Aditya Alinskyy,2,2024-06-06 14:57:19,video harus di tekanan dulu baru bersuara
Alex gembull,5,2024-06-06 14:18:00,top bgt luar biasa jumpa orang2 yg hebat
Dar mawi,5,2024-06-06 14:16:18,Kita coba dulu ya
Akila Maharani,5,2024-06-06 12:28:11,Bagus banget dan TDK ada iklan aku jadi bintang 5 buat aplikasi ini 👍👍👍👍👍
nanda mayshita ulfah,5,2024-06-06 11:28:57,sehat2 dan baik2 banget orang2 di threads 😭
Subayu 98,5,2024-06-06 09:13:53,jos
Owner's Sanggar Bjbk (Bara Nada Entertainment),5,2024-06-06 08:01:59,Terimakasih
Sri Redjeki,4,2024-06-06 05:44:32,Salam... 🙋
bolukaramel _6451,5,2024-06-06 05:26:12,Awesome
Abd Dhoorr,5,2024-06-05 22:49:10,👍
